symbol,fold,n_bars,n_trades,gross_pnl,net_pnl,total_costs,win_rate,profit_factor,sharpe,max_dd
RELIANCE,1,9851,15,10.14,-25.58,35.72,0.4,0.656,-1.885,42.28
RELIANCE,2,9851,4,-50.25,-66.86,16.62,0.0,0.0,-5.675,83.69
RELIANCE,3,9851,4,-1.35,-19.05,17.7,0.25,0.019,-1.642,39.59
RELIANCE,4,9852,9,-69.2,-106.33,37.13,0.2222,0.069,-6.805,115.57
TCS,1,9851,4,-26.72,-42.64,15.93,0.0,0.0,-4.233,63.62
TCS,2,9851,9,62.0,26.94,35.06,0.4444,1.437,1.468,43.85
TCS,3,9851,11,-8.65,-51.08,42.43,0.2727,0.5,-2.831,90.56
TCS,4,9852,11,-17.46,-56.55,39.09,0.2727,0.329,-3.159,74.83
INFY,1,9851,3,-5.21,-12.42,7.22,0.0,0.0,-2.926,18.2
INFY,2,9851,6,-21.38,-36.69,15.31,0.1667,0.157,-4.415,45.02
INFY,3,9851,4,-11.84,-22.92,11.08,0.0,0.0,-3.726,24.24
INFY,4,9852,14,39.14,-2.92,42.06,0.4286,0.961,-0.181,47.65
HDFCBANK,1,9851,14,-1.32,-34.97,33.65,0.3571,0.57,-2.501,72.44
HDFCBANK,2,9851,10,-27.08,-52.85,25.77,0.3,0.039,-5.618,60.86
HDFCBANK,3,9851,13,52.34,21.66,30.68,0.4615,1.494,1.732,25.27
HDFCBANK,4,9852,15,-5.48,-44.25,38.76,0.2667,0.522,-3.129,75.45
ICICIBANK,1,9851,26,195.91,108.65,87.26,0.4615,1.956,3.539,53.39
ICICIBANK,2,9851,4,3.01,-13.04,16.05,0.25,0.311,-1.354,41.39
ICICIBANK,3,9851,12,-12.24,-64.25,52.01,0.3333,0.262,-3.017,100.52
ICICIBANK,4,9852,4,-35.8,-53.5,17.71,0.25,0.114,-5.82,85.36
