symbol,fold,n_bars,n_trades,gross_pnl,net_pnl,total_costs,win_rate,profit_factor,sharpe,max_dd
RELIANCE,1,9851,5,-11.83,-29.72,17.9,0.2,0.243,-2.835,55.64
RELIANCE,2,9851,5,-0.69,-13.44,12.75,0.4,0.319,-1.882,31.72
RELIANCE,3,9851,7,30.76,13.94,16.82,0.1429,1.48,1.369,33.75
RELIANCE,4,9852,8,6.41,-23.2,29.61,0.25,0.417,-1.493,53.23
TCS,1,9851,12,-42.67,-72.01,29.34,0.25,0.151,-5.98,73.39
TCS,2,9851,11,-16.31,-43.16,26.85,0.1818,0.29,-3.734,55.45
TCS,3,9851,3,-11.31,-18.56,7.25,0.0,0.0,-3.388,26.51
TCS,4,9852,6,-5.92,-28.72,22.81,0.3333,0.36,-2.146,60.29
INFY,1,9851,4,11.21,0.5,10.71,0.25,1.023,0.061,33.66
INFY,2,9851,12,27.26,-6.66,33.92,0.3333,0.914,-0.437,58.45
INFY,3,9851,4,12.42,1.63,10.8,0.25,1.035,0.164,56.39
INFY,4,9852,51,83.69,-62.89,146.58,0.4314,0.716,-2.102,84.0
HDFCBANK,1,9851,3,-22.85,-30.9,8.05,0.0,0.0,-4.891,30.9
HDFCBANK,2,9851,10,10.94,-13.17,24.11,0.3,0.706,-1.24,40.98
HDFCBANK,3,9851,4,-6.14,-17.63,11.5,0.25,0.259,-2.819,29.27
HDFCBANK,4,9852,8,4.07,-14.63,18.7,0.375,0.593,-1.703,37.47
ICICIBANK,1,9851,19,35.27,-15.23,50.5,0.4211,0.846,-0.861,61.94
ICICIBANK,2,9851,5,-8.98,-22.34,13.36,0.2,0.119,-2.838,38.42
ICICIBANK,3,9851,12,73.17,42.1,31.08,0.5,1.804,3.021,44.0
ICICIBANK,4,9852,9,5.29,-18.02,23.31,0.3333,0.48,-1.614,31.42
