symbol,fold,n_bars,n_trades,gross_pnl,net_pnl,total_costs,win_rate,profit_factor,sharpe,max_dd
RELIANCE,1,9851,3,-41.72,-49.09,7.37,0.0,0.0,-8.79,49.09
RELIANCE,2,9851,6,-33.06,-48.19,15.13,0.1667,0.079,-5.564,55.25
RELIANCE,3,9851,15,-18.18,-55.7,37.52,0.3333,0.588,-3.451,83.92
RELIANCE,4,9852,3,-48.48,-56.74,8.26,0.0,0.0,-9.016,56.74
TCS,1,9851,4,-82.8,-100.79,17.99,0.0,0.0,-8.03,100.79
TCS,2,9851,15,-8.5,-45.57,37.07,0.2667,0.577,-2.882,83.0
TCS,3,9851,5,-46.38,-59.47,13.09,0.0,0.0,-6.717,59.47
TCS,4,9852,12,-22.73,-52.34,29.61,0.1667,0.477,-3.929,103.22
INFY,1,9851,7,-40.96,-57.61,16.66,0.1429,0.111,-6.38,64.89
INFY,2,9851,10,-84.84,-109.4,24.56,0.2,0.018,-9.327,113.21
INFY,3,9851,3,-27.56,-35.79,8.23,0.0,0.0,-5.586,35.79
INFY,4,9852,4,-2.76,-13.98,11.22,0.25,0.543,-1.866,35.1
HDFCBANK,1,9851,9,-65.59,-86.56,20.98,0.1111,0.081,-7.65,86.56
HDFCBANK,2,9851,3,-25.38,-33.14,7.76,0.0,0.0,-4.699,34.54
HDFCBANK,3,9851,3,-35.67,-43.32,7.64,0.0,0.0,-7.718,47.4
HDFCBANK,4,9852,4,-35.14,-45.2,10.06,0.0,0.0,-6.341,45.2
ICICIBANK,1,9851,7,-32.28,-61.26,28.99,0.1429,0.492,-3.628,107.81
ICICIBANK,2,9851,3,-29.39,-37.06,7.67,0.0,0.0,-6.223,37.06
ICICIBANK,3,9851,8,-49.53,-73.01,23.48,0.25,0.284,-6.043,108.34
ICICIBANK,4,9852,6,-40.68,-57.34,16.67,0.1667,0.061,-6.023,61.98
