symbol,fold,n_bars,n_trades,gross_pnl,net_pnl,total_costs,win_rate,profit_factor,sharpe,max_dd
RELIANCE,1,9851,5,-17.35,-29.27,11.92,0.0,0.0,-4.504,31.51
RELIANCE,2,9851,5,-1.7,-14.28,12.58,0.4,0.509,-1.612,36.06
RELIANCE,3,9851,12,5.83,-22.46,28.29,0.3333,0.622,-2.172,31.63
RELIANCE,4,9852,16,74.03,32.27,41.76,0.5,1.422,2.057,57.98
TCS,1,9851,15,19.61,-41.64,61.24,0.4,0.651,-1.731,103.35
TCS,2,9851,3,-26.74,-33.71,6.96,0.0,0.0,-7.766,33.71
TCS,3,9851,7,-45.69,-70.67,24.99,0.1429,0.316,-5.222,95.18
TCS,4,9852,7,23.7,-1.38,25.08,0.2857,0.977,-0.097,81.14
INFY,1,9851,17,7.89,-37.57,45.46,0.2941,0.653,-2.221,77.8
INFY,2,9851,3,-10.75,-18.88,8.13,0.0,0.0,-3.28,34.65
INFY,3,9851,16,15.39,-29.35,44.74,0.3125,0.732,-1.533,71.05
INFY,4,9852,10,10.17,-19.19,29.36,0.4,0.516,-1.421,37.27
HDFCBANK,1,9851,7,-12.07,-29.45,17.38,0.2857,0.469,-2.77,67.2
HDFCBANK,2,9851,27,4.55,-81.12,85.67,0.2593,0.554,-3.39,114.52
HDFCBANK,3,9851,12,-62.71,-103.76,41.05,0.1667,0.074,-6.708,106.0
HDFCBANK,4,9852,4,-8.93,-22.87,13.94,0.25,0.341,-2.482,53.58
ICICIBANK,1,9851,10,-37.66,-63.26,25.61,0.3,0.135,-4.746,91.34
ICICIBANK,2,9851,3,-17.4,-24.68,7.28,0.0,0.0,-5.602,31.82
ICICIBANK,3,9851,5,-2.0,-17.6,15.61,0.2,0.633,-1.797,53.67
ICICIBANK,4,9852,9,-24.62,-46.92,22.29,0.1111,0.123,-4.188,67.19
